timestamp,cpu_percent,cpu_peak,cpu_low,cpu_avg,memory_rss,disk_read_mb,disk_write_mb,disk_read_count,disk_write_count,analysis
2025-02-19 12:34:22,8.3,57.0,0.0,12.34,486.42,0,0.12,37592,39097,"{'CPU Analysis': {'Average CPU Usage': '12.34%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '88.09'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.12 MB', 'Total Operations': '76689'}, 'General': {'Monitoring Duration': '27.67 seconds', 'Total Samples': '25'}}"
2025-02-19 12:34:23,11.4,57.0,0.0,14.33,486.42,0,0.0,37592,39099,"{'CPU Analysis': {'Average CPU Usage': '14.33%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '85.64'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76691'}, 'General': {'Monitoring Duration': '28.77 seconds', 'Total Samples': '26'}}"
2025-02-19 12:34:24,0.0,57.0,0.0,7.95,486.42,0,0.0,37592,39108,"{'CPU Analysis': {'Average CPU Usage': '7.95%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '83.24'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76700'}, 'General': {'Monitoring Duration': '29.87 seconds', 'Total Samples': '27'}}"
2025-02-19 12:34:25,0.8,57.0,0.0,5.23,486.42,0,0.0,37592,39110,"{'CPU Analysis': {'Average CPU Usage': '5.23%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '82.22'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76702'}, 'General': {'Monitoring Duration': '30.98 seconds', 'Total Samples': '28'}}"
2025-02-19 12:34:26,4.1,57.0,0.0,1.41,486.42,0,0.0,37592,39113,"{'CPU Analysis': {'Average CPU Usage': '1.41%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '80.46'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76705'}, 'General': {'Monitoring Duration': '32.08 seconds', 'Total Samples': '29'}}"
2025-02-19 12:34:27,0.8,57.0,0.0,1.14,486.42,0,0.0,37592,39117,"{'CPU Analysis': {'Average CPU Usage': '1.14%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '79.0'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76709'}, 'General': {'Monitoring Duration': '33.18 seconds', 'Total Samples': '30'}}"
2025-02-19 12:34:29,8.3,57.0,0.0,3.78,486.57,0,0.0,37592,39123,"{'CPU Analysis': {'Average CPU Usage': '3.78%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '76.95'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76715'}, 'General': {'Monitoring Duration': '34.28 seconds', 'Total Samples': '31'}}"
2025-02-19 12:34:30,8.3,57.0,0.0,6.51,486.57,0,0.0,37592,39125,"{'CPU Analysis': {'Average CPU Usage': '6.51%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '75.07'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76717'}, 'General': {'Monitoring Duration': '35.39 seconds', 'Total Samples': '32'}}"
2025-02-19 12:34:31,8.3,57.0,0.0,9.04,486.57,0,0.0,37592,39127,"{'CPU Analysis': {'Average CPU Usage': '9.04%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '73.82'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76719'}, 'General': {'Monitoring Duration': '36.49 seconds', 'Total Samples': '33'}}"
2025-02-19 12:34:32,9.1,77.2,0.0,16.69,486.57,0,0.13,37592,39131,"{'CPU Analysis': {'Average CPU Usage': '16.69%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '113.95'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.13 MB', 'Total Operations': '76723'}, 'General': {'Monitoring Duration': '37.59 seconds', 'Total Samples': '34'}}"
